"completion_date","avg_lead_time_days"
"2025-01-01","0.40727929575500174599"
"2025-01-02","0.80109886832428498679"
"2025-01-03","1.26218322727504189292"
"2025-01-04","1.8463025047370589"
"2025-01-05","2.4207519284501227"
"2025-01-06","3.0059412579006843"
"2025-01-07","3.5301724791699763"
"2025-01-08","4.0772255004269752"
"2025-01-09","4.4828105466924377"
"2025-01-10","5.0047963847573361"
"2025-01-11","5.5058516483571226"
"2025-01-12","6.0501312433602726"
"2025-01-13","6.4952667849081384"
"2025-01-14","7.1542872490180318"
"2025-01-15","7.5183394864948359"
"2025-01-16","8.0569680304871588"
"2025-01-17","8.8214680911033223"
"2025-01-18","9.1595550449554959"
"2025-01-19","9.6903644264751160"
"2025-01-20","9.9423212693687310"
"2025-01-21","10.8502284041995801"
"2025-01-22","10.6595043380280787"
"2025-01-23","11.7788874714527246"
"2025-01-24","12.2538499183528439"
"2025-01-25","12.8023701848994964"
"2025-01-26","13.3102415280440498"
"2025-01-27","13.6333357382017252"
"2025-01-28","14.0164210731066813"
"2025-01-29","14.6872660655431381"
"2025-01-30","15.4545133702867063"
"2025-01-31","15.4848684064369175"
"2025-02-01","15.9407768615324231"
"2025-02-02","16.9014487630887835"
"2025-02-03","17.0175425445592622"
"2025-02-04","17.7413851849883423"
"2025-02-05","18.7028935615195629"
"2025-02-06","18.9132580262848991"
"2025-02-07","19.3060565118995377"
"2025-02-08","19.9879337427102385"
"2025-02-09","20.7352311566544518"
"2025-02-10","20.8356386633500443"
"2025-02-11","21.1225272699188837"
"2025-02-12","21.7150608907826643"
"2025-02-13","21.9821672074716471"
"2025-02-14","22.6846279376517340"
"2025-02-15","22.7182612311814202"
"2025-02-16","23.6761963701272179"
"2025-02-17","24.6592176865663921"
"2025-02-18","24.6477245447035588"
"2025-02-19","24.5705475812380100"
"2025-02-20","25.8263980055432721"
"2025-02-21","27.4126657318602759"
"2025-02-22","27.0284330080379221"
"2025-02-23","27.3762018028200834"
"2025-02-24","27.6170183425159566"
"2025-02-25","28.5913278138616209"
"2025-02-26","29.3424830777238987"
"2025-02-27","29.5764408276051214"
"2025-02-28","30.3683508901384097"
"2025-03-01","30.4759541743695758"
"2025-03-02","31.6319761696625816"
"2025-03-03","31.5208107818113503"
"2025-03-04","31.5659086313875236"
"2025-03-05","31.9249728063569269"
"2025-03-06","33.0421723325217066"
"2025-03-07","34.0368936080007590"
"2025-03-08","34.3431263360088057"
"2025-03-09","35.1426346085735787"
"2025-03-10","36.0552649840133520"
"2025-03-11","34.6642349574526785"
"2025-03-12","36.8837451895509743"
"2025-03-13","37.4150602184608853"
"2025-03-14","37.8515228626375015"
"2025-03-15","38.2503583666769823"
"2025-03-16","38.5596847610382839"
"2025-03-17","38.3387988339699635"
"2025-03-18","40.4569710251093881"
"2025-03-19","40.4923028586433326"
"2025-03-20","41.5992421005658423"
"2025-03-21","41.7279860696298188"
"2025-03-22","41.8795871304120851"
"2025-03-23","42.4505535089519394"
"2025-03-24","43.8522524089368198"
"2025-03-25","44.4128444551305644"
"2025-03-26","44.2171766945985331"
"2025-03-27","44.2079523526355198"
"2025-03-28","44.9581114995277281"
"2025-03-29","45.4465024091950587"
"2025-03-30","47.4300198471823744"
"2025-03-31","46.2330847143236979"
"2025-04-01","47.0074522771761764"
"2025-04-02","47.5986075829470449"
"2025-04-03","48.5275223918859480"
"2025-04-04","48.4516648428628430"
"2025-04-05","49.8475858460392100"
"2025-04-06","48.7449616664358541"
"2025-04-07","49.4504333103683304"
"2025-04-08","49.9430410803636908"
"2025-04-09","51.2860868239557313"
"2025-04-10","53.2309669933456463"
"2025-04-11","51.7792455659081143"
"2025-04-12","51.8382597989451297"
"2025-04-13","51.5564413068147589"
"2025-04-14","53.2928537326602301"
"2025-04-15","56.0332283242824775"
"2025-04-16","54.8787053399517701"
"2025-04-17","55.2105679279980601"
"2025-04-18","56.3422848788101293"
"2025-04-19","56.5213274359823273"
"2025-04-20","54.2602633512578840"
"2025-04-21","58.1858756180487086"
"2025-04-22","57.8535278609370073"
"2025-04-23","58.7174947200993620"
"2025-04-24","59.2955826183015689"
"2025-04-25","59.1977038766135086"
"2025-04-26","59.0171362872280037"
"2025-04-27","61.2322289499426053"
"2025-04-28","60.9995701079411032"
"2025-04-29","61.5931974435775254"
"2025-04-30","62.0824611655883318"
"2025-05-01","63.5026004388020006"
"2025-05-02","63.5418089331011989"
"2025-05-03","63.7910725104553310"
"2025-05-04","63.4993158312147145"
"2025-05-05","63.2699480857839102"
"2025-05-06","66.1812455466138353"
"2025-05-07","66.5331334243672470"
"2025-05-08","68.6570696025785157"
"2025-05-09","66.8424164776025159"
"2025-05-10","67.6912158328453082"
"2025-05-11","67.1770591466109154"
"2025-05-12","68.5632717775431979"
"2025-05-13","67.2120750567452938"
"2025-05-14","69.6003604763807896"
"2025-05-15","69.2421419146228444"
"2025-05-16","69.6149994605136457"
"2025-05-17","70.2725447994474088"
"2025-05-18","72.4427262476144705"
"2025-05-19","71.1087295129884809"
"2025-05-20","70.3034984765592362"
"2025-05-21","72.6228516561449418"
"2025-05-22","72.8641570791682987"
"2025-05-23","73.5274565169491075"
"2025-05-24","75.0070791499454699"
"2025-05-25","75.5917979448503914"
"2025-05-26","76.3996215420916973"
"2025-05-27","75.4492241105316248"
"2025-05-28","74.1767034244431589"
"2025-05-29","77.1413814845373504"
"2025-05-30","76.7335881748053763"
"2025-05-31","77.4770927204794600"
"2025-06-01","79.1009365652445747"
"2025-06-02","78.6653529896562874"
"2025-06-03","77.0860225160506027"
"2025-06-04","79.5648848179540630"
"2025-06-05","79.8850677708485329"
"2025-06-06","82.3745364946121674"
"2025-06-07","79.9756304386415424"
"2025-06-08","82.2100265177797645"
"2025-06-09","85.0443580622937280"
"2025-06-10","80.4802634745662575"
"2025-06-11","81.6734439779933422"
"2025-06-12","83.3336023524624204"
"2025-06-13","81.7863639369665633"
"2025-06-14","83.6562760516612293"
"2025-06-15","84.4539036169206113"
"2025-06-16","85.2154202750143133"
"2025-06-17","85.9458047383071657"
"2025-06-18","87.0011996780362610"
"2025-06-19","85.8274264410330540"
"2025-06-20","84.1905008015986292"
"2025-06-21","87.1464962890630643"
"2025-06-22","88.2362822823700767"
"2025-06-23","86.6296080521332190"
"2025-06-24","88.5407988167785441"
"2025-06-25","90.9787260517552932"
"2025-06-26","89.7161284744252540"
"2025-06-27","89.4828530206006108"
"2025-06-28","89.7695839791908280"
"2025-06-29","92.1998151405381349"
"2025-06-30","91.7895951485814632"
"2025-07-01","92.2399729932348410"
"2025-07-02","95.6849388252478660"
"2025-07-03","93.6631720371450953"
"2025-07-04","95.0606944293106750"
"2025-07-05","91.0639764207979818"
