"machine_id","machine_type","mtbf_interval"
885163470,"Lithography","1439.7399691718601016"
746060578,"Test_Packaging","2281.3696670107062791"
431084689,"Test_Packaging","2185.9695037402374359"
260960546,"Deposition","999.5677247834392000"
316693091,"Deposition","816.8160076635685082"
430753429,"Lithography","1442.3696333005961835"
404576483,"Assembly","355.9245504621306619"
401045583,"Deposition","760.6267800599578177"
232715816,"Etch","2214.2635466609861055"
14304683,"Etch","2116.9288403018209237"
789632669,"Test_Packaging","2112.8432245052119849"
15280064,"Lithography","1411.6984229576264844"
660960767,"Test_Packaging","2201.4364225800657158"
234484216,"Test_Packaging","2312.8240297617670829"
123488045,"Lithography","1410.3286141665389802"
883336381,"Deposition","779.0130438147849999"
285456335,"Test_Packaging","2257.9444688383501176"
351232592,"Test_Packaging","2182.9607274795143012"
842060513,"Test_Packaging","2282.3767632272544781"
747066913,"Etch","1542.6938162181112200"
492307267,"Assembly","351.9369415241995346"
306634907,"Etch",NULL
875833441,"Assembly",NULL
254837838,"Deposition","777.2464830517825331"
851564834,"Etch","2041.9475315563833171"
179510570,"Deposition","895.0095868946368535"
220309176,"Assembly","356.0127244448833926"
277018087,"Etch",NULL
38674760,"Lithography","1403.2431969652856247"
417955101,"Test_Packaging","2164.3547852067078045"
435075826,"Deposition","796.16484190171203782"
699032178,"Lithography","1369.6182468503729782"
670270356,"Etch",NULL
847297655,"Lithography","1383.7507872078419385"
284618131,"Etch",NULL
278296318,"Lithography","1448.0159296006645901"
781217825,"Deposition","773.9508417589633126"
498102702,"Etch","2143.9381835097235314"
721246371,"Assembly","366.3413841928945998"
333442024,"Assembly","396.9871672520530375"
234736546,"Assembly",NULL
948246942,"Deposition","762.9678415891098218"
741489170,"Deposition","781.8122206943822400"
414938962,"Lithography","1465.8571860634398335"
88737742,"Test_Packaging","2027.3283618342732611"
764912373,"Test_Packaging","2107.3667775836532927"
608327372,"Assembly","547.5586203441023680"
226248810,"Deposition","789.8143452606195887"
141074074,"Test_Packaging","2214.8737421546294096"
887560461,"Assembly",NULL
468666953,"Deposition","865.9763062380473424"
858938786,"Etch","2080.8718171186289263"
596050571,"Etch","1997.5445062123987041"
981573962,"Etch",NULL
827370796,"Lithography","1422.1780204307565451"
388115190,"Deposition","864.5179127965183428"
294247335,"Lithography","1409.9894606906557606"
348334942,"Assembly","369.9214392070972393"
894321511,"Deposition","761.1770629893566260"
354335198,"Lithography","1435.9059597216468243"
535149167,"Deposition","988.6029116162764464"
874727402,"Assembly","365.8855567786194944"
385183015,"Lithography","1461.6761238618936749"
747709079,"Lithography","1496.1314584025839868"
220713169,"Deposition","772.2931511644273980"
563161475,"Etch","2924.1912358216941500"
485712369,"Etch","1369.8379882276057667"
557633597,"Test_Packaging","2395.9887934820810503"
439135239,"Lithography","1344.8340730199462137"
745438564,"Etch","2073.8474167970319450"
712268219,"Assembly","414.4625247557138143"
517912382,"Lithography","1369.3627468180584549"
322106576,"Deposition","791.8715426195922491"
225485994,"Test_Packaging","2169.1124950351040942"
530818592,"Deposition","848.8469630465576023"
881839536,"Deposition",NULL
224370707,"Assembly",NULL
649554859,"Deposition","758.9822508373407389"
276455830,"Etch","2224.0736042986474509"
774048212,"Deposition","1179.2276881393045000"
389410461,"Deposition","801.1264631069262231"
178464211,"Deposition","778.7791933196997053"
866193189,"Assembly","387.7487683395544700"
559071454,"Etch","2161.72792128349358450"
488864249,"Etch","1540.6653756362696208"
888010932,"Assembly","351.5066329073548908"
289610635,"Test_Packaging","2274.3607489017496385"
466396314,"Lithography","1397.5398675057094132"
191558644,"Assembly","351.8044762301338789"
333394091,"Assembly","258.8492219801992000"
103533322,"Assembly","702.6708862259984000"
319002077,"Lithography","1349.3922183356769938"
799815877,"Deposition","845.0795244812143721"
141388463,"Etch","2253.3080979471560579"
36315524,"Etch","2557.7055943569866794"
852795879,"Assembly","391.7888935561833374"
235578642,"Assembly",NULL
10256942,"Lithography","1438.9224231997880632"
811048032,"Deposition","152.0315950661897700"
642440758,"Lithography","1391.6531656151602857"
