"machine_id","machine_type","utilization_pct","avg_cycle_time_difference","total_downtime"
385183015,"Lithography","0.99999167002291483352","4.7613366443532714","757420.00000000000"
847297655,"Lithography","0.99998876401304233066","9.2816794719186235","792799.00000000000"
747709079,"Lithography","0.99998358935137237939","5.2632942827835664","749542.0000000000"
430753429,"Lithography","0.99996786959927703182","8.2997836668469443","785881.999999999996"
642440758,"Lithography","0.99995050486693506231","5.8989680695877681","775710.000000000000"
827370796,"Lithography","0.99994938920892335413","3.2609281517813831","699853.00000000020"
38674760,"Lithography","0.99994227821356924444","2.9184849954205054","684403.00000000000"
354335198,"Lithography","0.99993039429387415468","9.1104082184374155","754511.00000000000"
319002077,"Lithography","0.99992325998193362088","3.6061276228491289","733738.00000000000"
439135239,"Lithography","0.99992288027700873584","4.6016115076789963","848309.000000000000"
294247335,"Lithography","0.99992235261310111976","6.1038204187351608","706061.00000000000"
699032178,"Lithography","0.99991848454836626718","5.9430007023610136","774060.000000000000"
10256942,"Lithography","0.99991773277038425356","7.7454349000540249","737526.00000000000"
517912382,"Lithography","0.99991695790556468824","6.9673043666234328","768088.00000000000"
885163470,"Lithography","0.99991320311786956135","4.3007555315704263","744311.000000000000"
15280064,"Lithography","0.99991237162859203005","5.7553467271548931","756107.00000000000"
278296318,"Lithography","0.99989438484677490377","6.5970367165954686","806669.000000000000"
466396314,"Lithography","0.99987315338167978068","5.4876586551444775","763228.000000000000"
414938962,"Lithography","0.99985547152191882739","5.4048043184885290","735748.00000000000"
123488045,"Lithography","0.99985313107361213513","4.8355646728568344","748828.00000000000"
389410461,"Deposition","0.90847552596718074173","4.2447564219102448","701235.00000000000"
649554859,"Deposition","0.88675590116321491143","2.8212467318012935","608418.000000000000"
316693091,"Deposition","0.85988767669493440541","4.4909459603685652","666581.00000000000"
789632669,"Test_Packaging","0.85263989476354186993","8.1892002037697402","582728.000000000000"
