"machine_id","utilization_pct","total_units_approved"
385183015,"0.99997891474343692436","8563061"
430753429,"0.99994737273910699800","8539129"
847297655,"0.99994471272085575843","8588561"
747709079,"0.99993466647294135393","8623952"
827370796,"0.99992074347464182430","8579954"
642440758,"0.99991526544875756430","8509573"
38674760,"0.99988899390988200002","8570486"
439135239,"0.99987628970149592508","8582790"
354335198,"0.99987043965193288828","8638502"
699032178,"0.99986738428680940271","8624683"
319002077,"0.99986085802614136400","8597245"
10256942,"0.99985819142213659261","8537948"
517912382,"0.99985760163843131912","8689988"
294247335,"0.99985541334748786319","8581306"
885163470,"0.99984582922388695936","8584566"
15280064,"0.99984482372157817815","8572702"
278296318,"0.99980565210833429574","8641679"
466396314,"0.99979663058803390841","8571233"
414938962,"0.99979237227946617177","8645320"
123488045,"0.99978970734792221824","8654821"
389410461,"0.91787433463025939061","14319632"
649554859,"0.90204392369871934635","14475355"
316693091,"0.87919029209118491644","14143734"
789632669,"0.87442454444364233966","5135651"
435075826,"0.85210947426942917977","13919335"
660960767,"0.84518579733917537081","4973488"
894321511,"0.81689672184324630690","13457628"
559071454,"0.81598438825457513638","4553152"
431084689,"0.81072734375370525627","4806311"
322106576,"0.77362483749507581471","12901041"
721246371,"0.76899309077649164430","28390084"
14304683,"0.76722226657331788327","4294595"
289610635,"0.76596703933165918445","4496507"
401045583,"0.71925655594709501383","12096816"
285456335,"0.70643506274095834939","4137692"
498102702,"0.69912055188616992451","3936443"
348334942,"0.66846480290576974440","25000336"
948246942,"0.65312651413126175467","11011212"
141074074,"0.64548239459252384264","3853661"
276455830,"0.60654958009529478292","3382721"
226248810,"0.57083415233355805954","9626824"
746060578,"0.56293857392541233151","3317091"
191558644,"0.53922653211724912701","20464301"
851564834,"0.50150620659601517791","2796074"
741489170,"0.47923008031917335153","8141701"
842060513,"0.47344011159771836811","2729791"
404576483,"0.39368172206883935626","14844125"
858938786,"0.38788628119149659474","2146458"
781217825,"0.38469773548585412184","6598781"
225485994,"0.37224691180343357964","2199786"
178464211,"0.28963345047671582533","5063132"
557633597,"0.27347918617500418218","1588237"
232715816,"0.27212361693778158784","1486509"
852795879,"0.25671639821682214388","9771919"
883336381,"0.20398419031899990890","3474974"
234484216,"0.19010690994959196237","1102616"
596050571,"0.16355584555703547753","922707"
492307267,"0.14700116594615368150","5524951"
799815877,"0.13371753097094919362","2307347"
417955101,"0.12070339168277380268","713898"
141388463,"0.09013153797446104073","499261"
388115190,"0.07890192434824352602","1359231"
220309176,"0.07428814760552602076","2866457"
764912373,"0.07039204942222359341","415163"
530818592,"0.04479066538631714483","783206"
36315524,"0.04012753341595914405","216210"
88737742,"0.03561560243651915869","212058"
712268219,"0.03369805301922803523","1313938"
179510570,"0.02460394605480236696","413780"
351232592,"0.01979754574197937204","114985"
745438564,"0.01713250503844329876","90228"
874727402,"0.01503873255043534540","552191"
254837838,"0.01135073035570557712","207797"
747066913,"0.00630004271058090638","32756"
333442024,"0.00592519666286879808","213003"
468666953,"0.00477868214390923396","80912"
535149167,"0.00206951796979418200","37306"
888010932,"0.00158697373008330496","60288"
488864249,"0.00122111487657658911","5239"
260960546,"0.00090270599420088856","12541"
608327372,"0.00056803683387005371","21400"
774048212,"0.00034681950756089532","5429"
220713169,"0.00020059277643912052","1864"
103533322,"0.00017389179059221334","5181"
887560461,NULL,NULL
670270356,NULL,NULL
981573962,NULL,NULL
563161475,NULL,NULL
485712369,NULL,NULL
333394091,NULL,NULL
811048032,NULL,NULL
306634907,NULL,NULL
284618131,NULL,NULL
277018087,NULL,NULL
235578642,NULL,NULL
866193189,NULL,NULL
875833441,NULL,NULL
881839536,NULL,NULL
234736546,NULL,NULL
224370707,NULL,NULL
