"machine_id","machine_type","utilization_pct","avg_cycle_time_difference","total_downtime"
385183015,"Lithography","0.99997891474343692436","4.7433363553943790","455864.0000000000"
430753429,"Lithography","0.99994737273910699800","7.9165080228447104","415862.00000000000"
847297655,"Lithography","0.99994471272085575843","4.2310479123267820","429280.00000000000"
747709079,"Lithography","0.99993466647294135393","2.3281065893229403","473225.00000000000"
827370796,"Lithography","0.99992074347464182430","5.0067854881027775","381860.00000000000"
642440758,"Lithography","0.99991526544875756430","7.6484155089439753","466095.00000000000"
38674760,"Lithography","0.99988899390988200002","4.5038077969174977","452076.00000000000"
439135239,"Lithography","0.99987628970149592508","2.3767302994662083","410019.000000000000"
354335198,"Lithography","0.99987043965193288828","4.4785759579672072","427753.0000000000"
699032178,"Lithography","0.99986738428680940271","6.6181520850367948","492615.00000000000"
319002077,"Lithography","0.99986085802614136400","8.1952082766131228","442824.00000000000"
10256942,"Lithography","0.99985819142213659261","5.2890199637023593","469763.00000000000"
517912382,"Lithography","0.99985760163843131912","6.1851347672202559","464109.999999999900"
294247335,"Lithography","0.99985541334748786319","7.6921472615161407","421671.0000000000"
885163470,"Lithography","0.99984582922388695936","2.1844704176859654","456276.00000000000"
15280064,"Lithography","0.99984482372157817815","7.3808313668542385","451999.000000000000"
278296318,"Lithography","0.99980565210833429574","2.3017826441046059","415917.00000000000"
466396314,"Lithography","0.99979663058803390841","6.0998092816274634","485910.00000000000"
414938962,"Lithography","0.99979237227946617177","6.3814489074258772","431778.0000000000"
123488045,"Lithography","0.99978970734792221824","6.6487123685165034","429464.000000000000"
389410461,"Deposition","0.91787433463025939061","3.0185977616853193","386868.000000000000"
649554859,"Deposition","0.90204392369871934635","3.6652528183949101","362321.00000000000"
316693091,"Deposition","0.87919029209118491644","3.4647193585337915","363608.0000000003"
789632669,"Test_Packaging","0.87442454444364233966","11.9055299539170507","449125.00000000000"
435075826,"Deposition","0.85210947426942917977","3.5479233226837061","372795.00000000000"
