"machine_id","utilization_pct","total_units_approved"
747709079,"0.99995293565190610787","8898476"
847297655,"0.99991163743771959021","8962757"
430753429,"0.99990774911211878042","8941478"
385183015,"0.99989571430364281987","8899203"
827370796,"0.99987745969951211385","8974819"
38674760,"0.99987620206096837970","8928479"
439135239,"0.99986671543813369144","8958574"
642440758,"0.99985891132700574377","8958478"
319002077,"0.99985717105497736359","8963819"
699032178,"0.99984927497550527775","8954990"
354335198,"0.99984747875344588624","9074779"
517912382,"0.99984455115699831022","8918517"
15280064,"0.99983902770519476966","8869754"
885163470,"0.99983518357534915833","8942978"
10256942,"0.99983461633988651885","8887080"
294247335,"0.99982306801937597915","8968480"
466396314,"0.99974545250842380391","8937452"
278296318,"0.99973266033239342800","8992516"
414938962,"0.99972904564725032706","8815743"
123488045,"0.99971201321211453696","8947687"
389410461,"0.91509655567060399772","14103546"
649554859,"0.89552478286841073056","14232371"
316693091,"0.87243355160553726238","14000375"
789632669,"0.86217508925176873274","5397684"
435075826,"0.83967442744807351238","13621533"
660960767,"0.83255561994533497137","5195830"
559071454,"0.81001110372302029561","4539958"
894321511,"0.80223586405137333471","13275592"
431084689,"0.79450241893119743451","4980821"
14304683,"0.75750512141633147298","4278418"
322106576,"0.75692996204707483206","12743599"
721246371,"0.75134983490433957953","28542692"
289610635,"0.74954679120549513177","4740914"
401045583,"0.69892996505846627627","11834051"
285456335,"0.69469983569585585589","4307107"
498102702,"0.68581484051776709730","3874421"
348334942,"0.64432189524443297605","24446333"
948246942,"0.63568720214505774245","10845902"
141074074,"0.62905683252451999207","4000466"
276455830,"0.60135242481559037971","3377750"
226248810,"0.55844815166413663569","9643286"
746060578,"0.55461300028442857293","3486520"
191558644,"0.51784594385453957688","19815510"
851564834,"0.49667425023670456743","2786371"
741489170,"0.47427001204112824878","8348881"
842060513,"0.47119610633719181081","2994576"
781217825,"0.38684188498438053644","6725147"
858938786,"0.38616841707190126141","2173299"
404576483,"0.38367433189120048236","14726995"
225485994,"0.37709159127258681958","2403614"
178464211,"0.30086133138859391373","5307647"
557633597,"0.29210731269446987327","1834358"
232715816,"0.27066584628056702947","1536246"
852795879,"0.26061366525711913768","10137361"
883336381,"0.21995073902831832681","3891616"
234484216,"0.20939157829692196384","1316482"
596050571,"0.17223720945722295713","972361"
492307267,"0.16332514335709403655","6372143"
799815877,"0.15237233417298304076","2660713"
417955101,"0.13776821752189317364","882305"
388115190,"0.10043504962546623185","1761145"
141388463,"0.09749411085378340359","539269"
220309176,"0.09210129317245521084","3549004"
764912373,"0.08625951665609309282","547474"
530818592,"0.06329234131740170628","1150315"
88737742,"0.05084107752501905945","327308"
36315524,"0.04996909757216301060","294079"
712268219,"0.04993631437125087110","1926557"
179510570,"0.03544000523427629422","649386"
351232592,"0.02775520246337422812","169706"
745438564,"0.02566362333882665582","132037"
874727402,"0.02488132224005521147","968504"
254837838,"0.02005629966673614421","365483"
333442024,"0.01104808431787149822","412189"
468666953,"0.01086958648357584703","201372"
747066913,"0.00968315814461963949","64096"
535149167,"0.00542004313620602037","93049"
888010932,"0.00453714490133285901","183494"
488864249,"0.00331591081090069886","19945"
260960546,"0.00291327183729122270","62992"
608327372,"0.00172335877765444447","67637"
774048212,"0.00166184827777913265","30626"
103533322,"0.00082881996757801795","32084"
220713169,"0.00081223319276188900","13571"
485712369,"0.00068614485514428379","3995"
875833441,"0.00041731623779357262","11232"
563161475,"0.00039340549635746824","1695"
881839536,"0.00037073421366004317","957"
811048032,"0.00036003112234119205","5908"
866193189,"0.000066472645273954500035","2147"
234736546,"0.000042122922090896289562","1666"
887560461,"0.000032168698445474246746","1243"
981573962,NULL,NULL
333394091,NULL,NULL
306634907,NULL,NULL
284618131,NULL,NULL
277018087,NULL,NULL
235578642,NULL,NULL
224370707,NULL,NULL
670270356,NULL,NULL
