"machine_id","downtime_ratio"
875833441,"0.20554823839315113599"
333442024,"0.02801495202604546472"
468666953,"0.02260805599908925585"
88737742,"0.02238075307786968063"
774048212,"0.01946324951644100580"
747066913,"0.01909616929204845346"
712268219,"0.01907784790950360755"
874727402,"0.01906980064607092502"
351232592,"0.01818257305436319476"
608327372,"0.01767313019390581717"
858938786,"0.01765306444738958945"
948246942,"0.01764888187152276790"
141074074,"0.01749717364624795615"
389410461,"0.01719560900456109689"
285456335,"0.01678663404560602305"
530818592,"0.01660569958287789694"
141388463,"0.01654682297095254273"
596050571,"0.01631535840872928140"
745438564,"0.01609927474176036697"
15280064,"0.01607737388676317157"
852795879,"0.01602924630999867274"
191558644,"0.01589140752151783570"
517912382,"0.01581866252355989450"
10256942,"0.01581755186681890869"
492307267,"0.01561052702682767580"
414938962,"0.01560108378785572878"
741489170,"0.01556890918574131030"
225485994,"0.01544004463408438893"
385183015,"0.01536689315011806935"
289610635,"0.01532880523440427236"
38674760,"0.01524666348337373664"
789632669,"0.01523158419511757866"
747709079,"0.01516248698964503536"
498102702,"0.01498689007433577213"
319002077,"0.01492636341324262785"
699032178,"0.01463671518723529675"
842060513,"0.01446224486495424632"
404576483,"0.01436810884831292396"
781217825,"0.01427472145645739150"
348334942,"0.01421779812931316861"
894321511,"0.01416950252838559866"
660960767,"0.01416186179524298683"
851564834,"0.01403984614590726498"
649554859,"0.01398577058645899080"
847297655,"0.01389015557920795067"
642440758,"0.01387138323733582451"
294247335,"0.01385717884067926393"
234484216,"0.01383214268516827615"
178464211,"0.01376927430240878272"
401045583,"0.01376895366281609830"
466396314,"0.01371398191770172105"
276455830,"0.01368656468722588703"
316693091,"0.01366077002335824863"
746060578,"0.01363805031635182844"
883336381,"0.01362301513913395568"
417955101,"0.01357352972989642385"
430753429,"0.01351299373236415579"
220309176,"0.01349765419888756960"
179510570,"0.01347423451004614648"
559071454,"0.01346370160326546694"
799815877,"0.01335672667038189945"
354335198,"0.01334000555927296737"
322106576,"0.01330028005503055993"
226248810,"0.01326556012217384444"
827370796,"0.01283032020272191709"
557633597,"0.01278194199293748916"
721246371,"0.01266580682024247313"
439135239,"0.01261492755865586730"
123488045,"0.01257168849097211875"
885163470,"0.01227750954731701576"
14304683,"0.01225950686438532145"
435075826,"0.01222141749654709276"
278296318,"0.01161792193457171218"
232715816,"0.01160644457069474656"
431084689,"0.01140667554142688558"
764912373,"0.01059661013199208752"
388115190,"0.01039963490105850265"
254837838,"0.00863187133022879125"
36315524,"0.00691295277397145075"
235578642,NULL
220713169,NULL
333394091,NULL
811048032,NULL
485712369,NULL
670270356,NULL
306634907,NULL
260960546,NULL
488864249,NULL
103533322,NULL
866193189,NULL
284618131,NULL
881839536,NULL
224370707,NULL
535149167,NULL
887560461,NULL
888010932,NULL
277018087,NULL
563161475,NULL
234736546,NULL
981573962,NULL
