"machine_id","machine_type","mtbf_interval"
885163470,"Lithography","1363.8054523269501894"
746060578,"Test_Packaging","2120.1275901069057790"
431084689,"Test_Packaging","2186.2530349352990932"
260960546,"Deposition",NULL
316693091,"Deposition","719.6178913589937166"
430753429,"Lithography","1470.7459717353734758"
404576483,"Assembly","353.8673478100886480"
401045583,"Deposition","837.2133904640818785"
232715816,"Etch","2460.1601580897766380"
14304683,"Etch","2143.8523865761543281"
789632669,"Test_Packaging","2015.3043312523835958"
15280064,"Lithography","1403.3127805735147439"
660960767,"Test_Packaging","2369.6567567151070601"
234484216,"Test_Packaging","2173.9514905702680029"
123488045,"Lithography","1398.4327992900827689"
883336381,"Deposition","841.6201240006834554"
285456335,"Test_Packaging","2003.6918573350207862"
351232592,"Test_Packaging","1400.7950575631112250"
842060513,"Test_Packaging","2200.0641728182804429"
747066913,"Etch","2984.2187610897235500"
492307267,"Assembly","408.9191391122934939"
306634907,"Etch",NULL
875833441,"Assembly","574.9724867111072000"
254837838,"Deposition","352.6240904239239175"
851564834,"Etch","2284.1341359218707800"
179510570,"Deposition","1007.6448524635717529"
220309176,"Assembly","416.4396833673333000"
277018087,"Etch",NULL
38674760,"Lithography","1392.5312924539473940"
417955101,"Test_Packaging","2222.7983096370940832"
435075826,"Deposition","826.0571720005410461"
699032178,"Lithography","1440.0111089077526825"
670270356,"Etch",NULL
847297655,"Lithography","1442.27005235086313696"
284618131,"Etch",NULL
278296318,"Lithography","1361.6284467121360260"
781217825,"Deposition","781.6184176536410330"
498102702,"Etch","2135.7223440706653483"
721246371,"Assembly","374.7054960855812737"
333442024,"Assembly","278.3092508904636000"
234736546,"Assembly",NULL
948246942,"Deposition","789.0393739072190646"
741489170,"Deposition","755.7984366357399419"
414938962,"Lithography","1389.7279198299082931"
88737742,"Test_Packaging","2019.1442124413636667"
764912373,"Test_Packaging","1762.5693022364617552"
608327372,"Assembly","589.0593374508899000"
226248810,"Deposition","711.2160136414426767"
141074074,"Test_Packaging","2178.3591617951483235"
887560461,"Assembly",NULL
468666953,"Deposition","595.5619066546981667"
858938786,"Etch","2076.2071967881710099"
596050571,"Etch","2200.5807160957263383"
981573962,"Etch",NULL
827370796,"Lithography","1485.7641897219053398"
388115190,"Deposition","664.9182553135033183"
294247335,"Lithography","1425.8730149063012696"
348334942,"Assembly","360.0499413109308324"
894321511,"Deposition","800.7835679926656276"
354335198,"Lithography","1288.8483728738131814"
535149167,"Deposition",NULL
874727402,"Assembly","381.7348663762211740"
385183015,"Lithography","1380.2472471741678775"
747709079,"Lithography","1428.4699706213665417"
220713169,"Deposition",NULL
563161475,"Etch",NULL
485712369,"Etch",NULL
557633597,"Test_Packaging","2352.58480304517045068"
439135239,"Lithography","1359.9504184350691815"
745438564,"Etch","2130.4678310966119500"
712268219,"Assembly","357.8838337204818300"
517912382,"Lithography","1421.8784533220529831"
322106576,"Deposition","758.2318242744398590"
225485994,"Test_Packaging","2293.1415180867658588"
530818592,"Deposition","785.7379675389888347"
881839536,"Deposition",NULL
224370707,"Assembly",NULL
649554859,"Deposition","735.3114027402935688"
276455830,"Etch","2249.9274676793801003"
774048212,"Deposition","691.3575325198472000"
389410461,"Deposition","770.0473376919102005"
178464211,"Deposition","822.2581413648423369"
866193189,"Assembly",NULL
559071454,"Etch","2214.9336507165397060"
488864249,"Etch",NULL
888010932,"Assembly",NULL
289610635,"Test_Packaging","2171.7420165469002477"
466396314,"Lithography","1462.7975525775324574"
191558644,"Assembly","326.6961973147163630"
333394091,"Assembly",NULL
103533322,"Assembly",NULL
319002077,"Lithography","1431.03985262157898368"
799815877,"Deposition","981.2936675895320852"
141388463,"Etch","1935.3695608349596373"
36315524,"Etch","2162.5601077791303000"
852795879,"Assembly","387.0758907684764283"
235578642,"Assembly",NULL
10256942,"Lithography","1309.3795166390194150"
811048032,"Deposition",NULL
642440758,"Lithography","1238.3259810738356557"
